"","V1","V2","V3","V4"
"349",0,0,0,1
"350",0,0,1,1
"351",1,1,1,0
"352",0,1,0,1
"353",0,1,0,0
"354",1,1,0,1
"355",1,1,0,1
"356",1,0,0,1
"357",0,1,1,1
"358",0,0,0,1
"359",1,1,0,1
"360",1,0,1,0
"361",1,0,0,1
"362",0,0,1,0
"363",0,0,1,1
"364",1,1,0,0
"365",1,0,1,0
"366",0,1,0,0
"367",0,1,1,0
"368",1,0,1,0
"369",0,1,1,0
"370",0,1,0,1
